nd_id,ca_id,dmnd_pf_id,grid_losses,grid_losses_absolute,dmnd_sum,dmnd_sum_yr2020,dmnd_sum_yr2025,dmnd_sum_yr2030,dmnd_sum_yr2035,dmnd_sum_yr2040,dmnd_sum_yr2045,dmnd_sum_yr2050,vc_dmnd_flex
0,0,3,0.0365996015205779,3326944.44444444,63215039.7196466,67167692.0270893,69682294.2750021,72506178.7642714,74657111.7793132,77663792.1688719,81024913.4786254,82845883.2147099,0.1
1,0,0,0.0413336227316051,4380000.0,58246000.0,60111111.1111111,61472222.2222222,62375000.0,63277777.7777778,64444444.4444444,65916666.6666667,67472222.2222222,0.1
2,0,1,0.0395698647778493,25605000.0,521960095.871591,530338374.289231,545230008.276285,558988974.194226,561759631.553486,566236523.719015,573279191.662812,579824691.012632,0.1
3,0,2,0.06488524386555,35988888.8888889,439479331.035795,452228740.342757,457984660.149843,469293173.426525,489078721.420644,508539017.602615,527124181.335004,547509217.288968,0.1
4,0,4,0.0609908772749885,19716944.4444444,294098626.493388,304286819.264908,306304595.540728,313746111.824518,335788785.39974,359200526.904964,377537436.779579,394882826.982438,0.1
